Image Path,Text,Hashtag,cleaned_tags,fasttext_precision,fasttext_recall,fasttext_f1
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/park/820.jpg,젊은 부부의 장자호수공원 나들이,"['장자호수공원,', '장자못,', '젊은부부,', '나들이']","['#나들이', '#부부의', '#장자호수공원']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/mountain/912.jpg,주말등산.........,"['주말등산,', '속리산,', '문장대,', '천왕봉,', '등산']",['#주말등산'],0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/cave/935.jpg,광명동굴 탐험대!,['광명동굴'],"['#탐험대', '#광명동굴']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/amusement park/829.jpg,영롱하게 빛나는 대관람차,['경주월드'],"['#대관람차션처', '#영롱하게']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/lake/995.jpg,자연은 정말 위대하고 아름다운 것 같아...,"['포천,', '청계호수']","['#정말', '#아름다운', '#자연은', '#해소']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/978.jpg,날도 좋고 기분도 좋았던 날,"['경복궁,', '궁궐']","['#날도', '#기분도']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/park/856.jpg,날이 좋아서 사람이 많구나,"['동작구,', '관악구,', '보라매공원,', '봄,', '날씨']","['#사람이', '#날이', '#서하']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/island/923.jpg,오륙도스카이워크에서 뚜벅이여행~ 아침이라 퉁퉁부은얼굴이네!! 탁트인바다에 가슴이뻥뚫림,"['오륙도,', '오륙도스카이워크,', '뚜벅이여행,', '탁트인바다']","['#탁트인바다에', '#퉁퉁부은얼굴이네', '#아침이라', '#오륙도스카이워크에서']",0.25,0.25,0.25
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/mountain/816.jpg,오늘 새벽 수영 갔다와서 거실에서 본 청계산. 푸른 하늘과 맑은 공기 좋네.. 하지만 조금 춥네,"['청계산,', '푸른하늘']","['#오늘', '#새벽', '#수영', '#거실에서']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/restaurant/804.jpg,주말은 여유롭게 보내자,"['간식,', '행복,', '주말,', '성수동카페,', '어니언']","['#여유롭게', '#보내자', '#주말은']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/beach/855.jpg,우도의 모든 곳이 무척 예뻐서 감동적이었음.,"['제주여행,', '제주,', '우도,', '사빈백사,', '우도봉,', '하고수동해수욕장']","['#무척', '#우도의', '#모든']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/875.jpg,"한복입고, 경복궁 나들이!","['서울,', '종로,', '경복궁,', '한복']","['#경복궁', '#나들이', '#한복입고']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/cave/811.jpg,엄마와 두번째 여행 넷째날과 다섯번째 여행지. 강원도 영월 고씨동굴에 벙문했다. 4~5억년전에 형성 된 동굴. 고씨동굴이란 이름은 임진왜란 때 고씨 일가족이 이 동굴 속에 피신하여 난을 피하였다는데서 유래되었다고 한다.,"['엄마,', '여행,', '강원도,', '영월,', '고씨동굴,', '동굴']","['#엄마와', '#강원도', '#여행', '#영월', '#여행지']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/beach/987.jpg,쁘라삐룬 태풍 오던 즈음. 파도 심하네.,"['여수,', '여천,', '여행,', '만성리해수욕장,', '쁘라삐룬태풍,', '파도']","['#파도', '#오던', '#심하네', '#즈음', '#태풍']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/957.jpg,경희궁 점심산책,"['경희궁,', '점심산책']","['#점심산책', '#경희궁']",0.5,0.5,0.5
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/827.jpg,"크리스마스 연휴를 맞아 서울로 가족여행을 왔다. 나는 사실 고궁이 다 거기서 거기일 거로 생각해서 별 기대를 안 했었다. 그런데 너무나도 푸르고 맑아진 하늘과 창덕궁 건물의 조화를 보니 마음이 확 달라졌다. 1시간 10분 동안 안내 여행을 했는데 안내자님이 설명을 재밌게 해 주셔서 상쾌한 기분으로 안을 둘러볼 수 있었다. 다음으로는 현대미술관에서 하는 뒤샹 전시회를 갔다. 아쉽게도 안에서 사진을 못 찍어서 입구에서 찍은 사진밖에 못 건졌다. 뒤샹은 우리에게 '샘'이란 작품으로 알려진 미술가이다. 이 분은 처음에는 세잔, 마티스의 인상파를 거쳐 입체파로 화풍을 바꾸었다가 점점 그걸 벗어나고 최종적으로는 회화를 탈피했다. 그 후 한동안 체스 선수로 대회에 나가며 예술활동을 더는 안 하는 듯했지만 나름의 독특한 세계를 구축하였다고 한다. 더 이상의 설명은 까먹음…. 가장 재밌었던 곳은 DDP에서 열린 키스 해링 전시회였다. 다들 키스 해링은 몰라도 어디선가 한 번쯤은 그의 그림을 본 적이 있을 것이다. 정말 아무렇게나 그린 그림이라고 생각했었는데 뜻밖에 많은 의미가 담겨 있었다. 키스 해링의 그림에서는 엎드린 사람과 개, 천사, 악마, 하트가 많이 등장한다. 성적인 의미를 담고 있는 그림도 꽤 있었는데 에이즈 예방 홍보 차원에서 그린 그림이라고 한다. 그는 여러 폭력을 비판하고 소수자들의 인권에 관심을 가지고 응원하는 사람이었다. 재밌는 그림들이 많았지만, 인스타는 10장만 올릴 수 있으므로 패스…. 궁금하신 분은 직접 가 보시는 걸 추천! 저녁에는 오랜만에 연희를 만나 밥도 먹고 카페도 갔다. 이 친구는 어쩌다 보니 1년마다 보게 되는데 볼 때마다 겉모습은 안 변해서 신기했다. 근데 서울물 많이 먹어서 사투리는 많이 없어졌다. 난 더 심해졌는데. 서울 갈 때마다 뭐 해야 하는지 잘 몰랐는데 전시회 같은 문화생활 위주로 많이 찾아보면 해결될 것 같다. 즐거운 경험이었다.","['서울여행,', '가족여행,', '휴가,', '메리크리스마스,', '창덕궁']","['#나는', '#연휴를', '#서울로', '#가족여행을', '#크리스마스']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/834.jpg,"1년을 시작할 때 변화가 느껴 집니까? 나는 이 시기에 항상 중요한 결정을 내리는 것이 시간인 것이 우연인지 모르지만, 여기에 나오는 질문과 대안으로 가득 찬 머리 안에서 모든 사람에게 가장 좋은 것이 나오게합니다. ..하지만 내가 좋아하는 궁전인 창덕궁 사진을 남겨주세요. 그리고 나는 이 장소에 관한 블로그에 새로운 글을 썼다. 분명히, 나는 당신이 읽을 것을 권유한다!",['창덕궁'],"['#나는', '#시작할', '#1년을', '#변화가']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/tower/955.jpg,노란색 83타워,"['대구,', '대구여행,', '83타워,', '83타워전망대']","['#노란색', '#83타워']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/restaurant/830.jpg,저거 이름이 뭐였지?,"['간식,', '바닐라라떼,', '카페']","['#저거', '#이름이']",0.0,0.0,0.0
